sgrnaID	gene	untreatedRep1	untreatedRep2	RigosertibRep1	RigosertibRep2
Apoptosis+Cancer+Other_Cancer=negCCT5_-_10249904.25-all	NA	793	793	636	539
Apoptosis+Cancer+Other_Cancer=negCCT7_+_73460263.24-NM_001166285	NA	1110	1110	642	788
Apoptosis+Cancer+Other_Cancer=negCCT7_+_73461235.22-NR_029403	NA	825	825	654	667
Apoptosis+Cancer+Other_Cancer=negCCT7_+_73461641.23-NM_001009570	NA	771	771	562	503
Apoptosis+Cancer+Other_Cancer=negCCT7_+_73462023.24-NM_001166284	NA	919	919	640	534
Apoptosis+Cancer+Other_Cancer=negCCT7_-_73459840.25-NM_001166285	NA	1426	1426	1191	1210
Apoptosis+Cancer+Other_Cancer=negCCT7_-_73459973.23-NM_001009570	NA	428	428	276	337
Apoptosis+Cancer+Other_Cancer=negCCT7_-_73460628.24-NR_029402	NA	535	535	279	411
Apoptosis+Cancer+Other_Cancer=negCCT7_-_73461573.23-NM_001009570	NA	517	517	358	411
Apoptosis+Cancer+Other_Cancer=negCCT7_-_73461692.25-NM_006429	NA	373	373	293	274
Apoptosis+Cancer+Other_Cancer=negCCT8_+_30445377.25-NM_001282908	NA	972	972	793	699
Apoptosis+Cancer+Other_Cancer=negCCT8_+_30445402.24-NM_001282909	NA	820	820	498	682
Apoptosis+Cancer+Other_Cancer=negCCT8_+_30445565.24-NM_006585	NA	1328	1328	936	1021
Apoptosis+Cancer+Other_Cancer=negCCT8_+_30446026.23-NM_001282908	NA	1995	1995	1341	1351
Apoptosis+Cancer+Other_Cancer=negCCT8_+_30446949.25-NM_006585	NA	934	934	685	685
Apoptosis+Cancer+Other_Cancer=negCCT8_+_30447261.25-NM_001282909	NA	900	900	650	746
Apoptosis+Cancer+Other_Cancer=negCDC123_+_12236571.22-all	NA	833	833	612	574
Apoptosis+Cancer+Other_Cancer=negCDC123_-_12237641.24-all	NA	826	826	715	706
Apoptosis+Cancer+Other_Cancer=negCDC123_-_12238217.24-all	NA	937	937	523	663
Apoptosis+Cancer+Other_Cancer=negCDC123_-_12238320.22-all	NA	579	579	509	408
Apoptosis+Cancer+Other_Cancer=negCDC27_+_45264945.24-NM_001114091	NA	395	395	204	274
Apoptosis+Cancer+Other_Cancer=negCDC27_+_45266469.22-NM_001114091	NA	807	807	615	651
Apoptosis+Cancer+Other_Cancer=negCDC27_-_45266309.24-NM_001256	NA	769	769	561	538
Apoptosis+Cancer+Other_Cancer=negCDC27_-_45266437.25-NM_001114091	NA	431	431	463	428
Apoptosis+Cancer+Other_Cancer=negCDC45_+_19466539.23-NM_003504	NA	668	668	575	612
Apoptosis+Cancer+Other_Cancer=negCDC45_+_19466657.24-NM_003504	NA	390	390	260	254
Apoptosis+Cancer+Other_Cancer=negCDC45_+_19466761.25-NM_001178010	NA	469	469	288	416
Apoptosis+Cancer+Other_Cancer=negCDC45_-_19467924.25-NM_003504	NA	1304	1304	923	1022
Apoptosis+Cancer+Other_Cancer=negCDC45_-_19468982.23-NM_003504	NA	427	427	249	343
Apoptosis+Cancer+Other_Cancer=negCDC5L_-_44353553.23-all	NA	1235	1235	847	953
Apoptosis+Cancer+Other_Cancer=negCDC73_+_193090838.24-all	NA	471	471	324	372
Apoptosis+Cancer+Other_Cancer=negCENPC_+_68411353.25-all	NA	724	724	549	491
Apoptosis+Cancer+Other_Cancer=negCENPC_+_68411443.25-all	NA	1004	1004	794	829
Apoptosis+Cancer+Other_Cancer=negCEP192_-_12990375.25-all	NA	611	611	434	540
Apoptosis+Cancer+Other_Cancer=negCEP55_+_95256232.23-NM_018131	NA	1189	1189	839	786
Apoptosis+Cancer+Other_Cancer=negCEP85_+_26560554.25-NM_001281517	NA	935	935	772	771
Apoptosis+Cancer+Other_Cancer=negCEP85_+_26561682.21-NM_022778	NA	416	416	199	405
Apoptosis+Cancer+Other_Cancer=negCEP85_-_26559782.25-NM_001281517	NA	582	582	438	444
Apoptosis+Cancer+Other_Cancer=negCEP85_-_26561279.25-NM_001281517	NA	973	973	603	832
Apoptosis+Cancer+Other_Cancer=negCFDP1_+_75467412.23-all	NA	1017	1017	697	711
Apoptosis+Cancer+Other_Cancer=negCFDP1_-_75466197.25-all	NA	1323	1323	1077	865
Apoptosis+Cancer+Other_Cancer=negCFDP1_-_75469089.25-all	NA	422	422	296	248
Apoptosis+Cancer+Other_Cancer=negCHAF1A_-_4403127.24-all	NA	1298	1298	1081	1100
Apoptosis+Cancer+Other_Cancer=negCHCHD4_+_14165906.23-NM_144636	NA	1084	1084	633	818
Apoptosis+Cancer+Other_Cancer=negCHCHD4_+_14166696.24-NM_144636	NA	556	556	507	328
Apoptosis+Cancer+Other_Cancer=negCHCHD4_+_14167348.23-NM_001098502	NA	329	329	243	238
Apoptosis+Cancer+Other_Cancer=negCHCHD4_-_14166149.24-NM_144636	NA	715	715	546	635
Apoptosis+Cancer+Other_Cancer=negCHMP4B_+_32398958.23-all	NA	757	757	391	572
Apoptosis+Cancer+Other_Cancer=negCHMP4B_+_32399337.25-all	NA	600	600	395	432
Apoptosis+Cancer+Other_Cancer=negCHMP6_+_78963919.24-all	NA	1136	1136	1149	916
Apoptosis+Cancer+Other_Cancer=negCHMP6_+_78964131.25-all	NA	826	826	735	587
Apoptosis+Cancer+Other_Cancer=negCHMP6_+_78965488.25-all	NA	939	939	635	620
Apoptosis+Cancer+Other_Cancer=negCHMP6_+_78965540.24-all	NA	1696	1696	1222	1125
Apoptosis+Cancer+Other_Cancer=negCIRH1A_+_69166124.25-all	NA	315	315	292	363
Apoptosis+Cancer+Other_Cancer=negCIRH1A_+_69166772.23-all	NA	1043	1043	852	834
Apoptosis+Cancer+Other_Cancer=negCKAP5_+_46867424.25-NM_014756	NA	682	682	638	621
Apoptosis+Cancer+Other_Cancer=negCKAP5_-_46866653.25-NM_014756	NA	1228	1228	810	935
Apoptosis+Cancer+Other_Cancer=negCKAP5_-_46868836.25-NM_001008938	NA	458	458	237	309
Apoptosis+Cancer+Other_Cancer=negCLSPN_+_36234791.25-NM_022111	NA	1014	1014	847	692
Apoptosis+Cancer+Other_Cancer=negCLSPN_+_36235680.23-NM_022111	NA	696	696	529	674
Apoptosis+Cancer+Other_Cancer=negCLSPN_+_36236419.23-NM_022111	NA	1325	1325	863	939
Apoptosis+Cancer+Other_Cancer=negCLSPN_-_36235136.23-NM_022111	NA	980	980	610	759
Apoptosis+Cancer+Other_Cancer=negCLSPN_-_36235262.24-NM_022111	NA	569	569	396	370
Apoptosis+Cancer+Other_Cancer=negCLSPN_-_36235285.24-NM_022111	NA	873	873	681	613
Apoptosis+Cancer+Other_Cancer=negCLTC_-_57697533.24-all	NA	1206	1206	900	961
Apoptosis+Cancer+Other_Cancer=negCLTC_-_57697630.23-all	NA	867	867	557	588
Apoptosis+Cancer+Other_Cancer=negCNOT1_+_58663048.25-NM_001265612	NA	888	888	644	729
Apoptosis+Cancer+Other_Cancer=negCNOT1_+_58663322.23-NM_016284	NA	1107	1107	797	798
Apoptosis+Cancer+Other_Cancer=negCNOT1_+_58663732.24-NM_001265612	NA	575	575	416	558
Apoptosis+Cancer+Other_Cancer=negCNOT1_+_58663933.25-NM_206999	NA	1019	1019	791	883
Apoptosis+Cancer+Other_Cancer=negCNOT1_-_58663171.23-NM_016284	NA	671	671	468	526
Apoptosis+Cancer+Other_Cancer=negCNOT1_-_58664523.23-NM_206999	NA	746	746	559	531
Apoptosis+Cancer+Other_Cancer=negCNOT1_-_58665326.25-NR_049763	NA	775	775	592	695
Apoptosis+Cancer+Other_Cancer=negCNOT1_-_58665350.23-NM_001265612	NA	958	958	686	808
Apoptosis+Cancer+Other_Cancer=negCOPA_+_160313354.23-NM_001098398	NA	740	740	515	677
Apoptosis+Cancer+Other_Cancer=negCOPA_+_160313374.24-NM_001098398	NA	495	495	359	373
Apoptosis+Cancer+Other_Cancer=negCOPA_+_160313453.24-NM_004371	NA	848	848	647	581
Apoptosis+Cancer+Other_Cancer=negCOPA_+_160315100.23-NM_004371	NA	722	722	512	564
Apoptosis+Cancer+Other_Cancer=negCOPS2_+_49447159.25-NM_001143887	NA	1241	1241	987	1010
Apoptosis+Cancer+Other_Cancer=negCOPS2_+_49447501.24-all	NA	871	871	565	598
Apoptosis+Cancer+Other_Cancer=negCOPS4_+_83955607.22-NM_016129	NA	620	620	470	535
Apoptosis+Cancer+Other_Cancer=negCOPS4_-_83955768.24-NM_016129	NA	787	787	563	615
Apoptosis+Cancer+Other_Cancer=negCOPS4_-_83957160.25-NM_016129	NA	868	868	591	727
Apoptosis+Cancer+Other_Cancer=negCOPZ1_+_54717844.25-NM_001271735	NA	450	450	345	385
Apoptosis+Cancer+Other_Cancer=negCOPZ1_+_54718656.25-NM_001271736,NR_073424	NA	671	671	496	617
Apoptosis+Cancer+Other_Cancer=negCOPZ1_-_54717888.24-NM_001271736	NA	1091	1091	870	833
Apoptosis+Cancer+Other_Cancer=negCOPZ1_-_54718116.22-NM_001271734	NA	462	462	289	349
Apoptosis+Cancer+Other_Cancer=negCOPZ1_-_54719168.25-NM_001271735	NA	1000	1000	639	630
Apoptosis+Cancer+Other_Cancer=negCOPZ1_-_54719773.22-NM_001271736	NA	596	596	383	418
Apoptosis+Cancer+Other_Cancer=negCOPZ1_-_54720035.25-NR_073424	NA	504	504	450	353
Apoptosis+Cancer+Other_Cancer=negCPSF2_+_92587982.25-all	NA	926	926	669	668
Apoptosis+Cancer+Other_Cancer=negCPSF6_+_69633481.23-all	NA	521	521	395	305
Apoptosis+Cancer+Other_Cancer=negCREBBP_-_3928757.23-NM_001079846	NA	220	220	141	205
Apoptosis+Cancer+Other_Cancer=negCREBBP_-_3930952.24-NM_004380	NA	638	638	385	519
Apoptosis+Cancer+Other_Cancer=negCRNKL1_+_20032438.25-NM_001278628	NA	844	844	670	739
Apoptosis+Cancer+Other_Cancer=negCRNKL1_+_20033447.24-NM_001278628	NA	834	834	546	652
Apoptosis+Cancer+Other_Cancer=negCSE1L_+_47661067.22-NR_045796	NA	1225	1225	891	1008
Apoptosis+Cancer+Other_Cancer=negCSE1L_+_47663471.25-NM_001256135	NA	1137	1137	853	874
Apoptosis+Cancer+Other_Cancer=negCSE1L_+_47664004.24-NM_001316	NA	856	856	679	728
Apoptosis+Cancer+Other_Cancer=negCSE1L_+_47664185.25-NM_001316	NA	1119	1119	834	970
Apoptosis+Cancer+Other_Cancer=negCSE1L_+_47664204.23-NM_001256135	NA	1870	1870	1397	1449
Apoptosis+Cancer+Other_Cancer=negCSE1L_-_47661344.25-NR_045796	NA	526	526	314	434
Apoptosis+Cancer+Other_Cancer=negCSE1L_-_47663550.24-NM_001256135	NA	1075	1075	613	821
Apoptosis+Cancer+Other_Cancer=negCSE1L_-_47663844.21-NM_001316,NR_045796	NA	857	857	573	670
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_+_148929574.25-NM_001271741	NA	558	558	415	420
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_+_148929894.23-NM_001271741	NA	766	766	557	553
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_+_148931407.23-NM_001025105	NA	956	956	680	808
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_+_148931763.25-NM_001271741,NM_001892	NA	1218	1218	679	882
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_+_148932201.24-NM_001025105	NA	491	491	355	384
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_-_148929851.25-NM_001892	NA	558	558	504	442
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_-_148930820.25-NM_001892	NA	559	559	436	389
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_-_148931213.25-NM_001271741	NA	1177	1177	864	784
Apoptosis+Cancer+Other_Cancer=negCSTF1_+_54966715.22-NM_001033521	NA	797	797	630	642
Apoptosis+Cancer+Other_Cancer=negCSTF1_+_54967203.21-NM_001033521	NA	566	566	339	360
Apoptosis+Cancer+Other_Cancer=negCSTF1_+_54968079.24-NM_001324	NA	705	705	676	574
Apoptosis+Cancer+Other_Cancer=negCSTF1_-_54966677.25-NM_001033522	NA	1159	1159	712	733
Apoptosis+Cancer+Other_Cancer=negCSTF1_-_54966685.25-NM_001033521	NA	617	617	352	367
Apoptosis+Cancer+Other_Cancer=negCSTF1_-_54967347.25-NM_001324	NA	830	830	617	715
Apoptosis+Cancer+Other_Cancer=negCSTF1_-_54967550.25-NM_001324	NA	618	618	377	405
Apoptosis+Cancer+Other_Cancer=negCSTF3_+_33182700.24-NM_001326,NM_001033505	NA	600	600	383	507
Apoptosis+Cancer+Other_Cancer=negCSTF3_+_33182951.23-NM_001033506	NA	779	779	531	652
Apoptosis+Cancer+Other_Cancer=negCSTF3_-_33183747.25-NM_001326	NA	641	641	460	498
Apoptosis+Cancer+Other_Cancer=negCSTF3_-_33184036.24-NM_001033506	NA	1007	1007	675	889
Apoptosis+Cancer+Other_Cancer=negCTCF_+_67596843.25-NM_001191022	NA	451	451	278	383
Apoptosis+Cancer+Other_Cancer=negCTCF_+_67596970.25-NM_006565	NA	645	645	553	504
Apoptosis+Cancer+Other_Cancer=negCTCF_+_67597415.24-NM_001191022	NA	262	262	135	212
Apoptosis+Cancer+Other_Cancer=negCTCF_-_67597318.22-NM_001191022	NA	882	882	510	724
Apoptosis+Cancer+Other_Cancer=negCTNNBL1_+_36321085.25-NM_001281495	NA	822	822	552	572
Apoptosis+Cancer+Other_Cancer=negCTNNBL1_+_36321861.25-NM_001281495	NA	975	975	717	760
Apoptosis+Cancer+Other_Cancer=negCTNNBL1_-_36321359.23-NM_030877	NA	779	779	624	468
Apoptosis+Cancer+Other_Cancer=negCTNNBL1_-_36323800.24-NM_001281495	NA	633	633	536	573
Apoptosis+Cancer+Other_Cancer=negCWC22_+_180870450.24-all	NA	994	994	551	671
Apoptosis+Cancer+Other_Cancer=negCYB5B_-_69457773.24-all	NA	1489	1489	1111	959
Apoptosis+Cancer+Other_Cancer=negDAP3_-_155658636.22-NM_004632	NA	491	491	327	368
Apoptosis+Cancer+Other_Cancer=negDAP3_-_155658828.25-NM_001199849	NA	425	425	178	202
Apoptosis+Cancer+Other_Cancer=negDAP3_-_155658963.24-NM_001199850	NA	880	880	753	743
Apoptosis+Cancer+Other_Cancer=negDCPS_+_126175120.25-all	NA	891	891	577	536
Apoptosis+Cancer+Other_Cancer=negDCTN4_+_150138555.24-NM_001135644	NA	769	769	595	728
Apoptosis+Cancer+Other_Cancer=negDCTN4_+_150138797.22-NM_016221	NA	213	213	144	261
Apoptosis+Cancer+Other_Cancer=negDDX21_+_70715023.25-NM_004728	NA	764	764	608	660
Apoptosis+Cancer+Other_Cancer=negDDX21_+_70715495.25-NM_004728	NA	492	492	378	429
Apoptosis+Cancer+Other_Cancer=negDDX21_+_70715730.24-NM_004728	NA	1072	1072	662	776
Apoptosis+Cancer+Other_Cancer=negDDX21_-_70716118.25-NM_004728	NA	624	624	466	489
Apoptosis+Cancer+Other_Cancer=negDDX21_-_70716520.25-NM_004728	NA	982	982	666	645
Apoptosis+Cancer+Other_Cancer=negDDX42_+_61850759.23-NM_007372	NA	1062	1062	648	674
Apoptosis+Cancer+Other_Cancer=negDDX42_+_61851447.21-NM_007372	NA	610	610	397	450
Apoptosis+Cancer+Other_Cancer=negDDX42_+_61851657.24-NM_007372	NA	1518	1518	1188	1184
Apoptosis+Cancer+Other_Cancer=negDDX42_-_61849837.22-NM_203499	NA	1087	1087	778	799
Apoptosis+Cancer+Other_Cancer=negDDX42_-_61851633.25-NM_203499	NA	381	381	237	259
Apoptosis+Cancer+Other_Cancer=negDDX42_-_61852088.24-NM_203499	NA	1193	1193	1048	875
Apoptosis+Cancer+Other_Cancer=negDDX42_-_61853298.21-NM_007372	NA	899	899	578	753
Apoptosis+Cancer+Other_Cancer=negDDX47_+_12964728.24-NM_201224	NA	890	890	577	647
Apoptosis+Cancer+Other_Cancer=negDDX47_+_12966710.23-NM_201224	NA	899	899	614	567
Apoptosis+Cancer+Other_Cancer=negDDX47_+_12967731.23-NM_201224	NA	802	802	570	460
Apoptosis+Cancer+Other_Cancer=negDDX47_-_12965732.22-NM_201224	NA	1150	1150	906	817
Apoptosis+Cancer+Other_Cancer=negDDX47_-_12966452.23-NM_201224	NA	1043	1043	870	847
Apoptosis+Cancer+Other_Cancer=negDDX47_-_12967698.22-NM_201224	NA	1062	1062	845	837
Apoptosis+Cancer+Other_Cancer=negDDX47_-_12967863.24-NM_201224	NA	566	566	408	380
Apoptosis+Cancer+Other_Cancer=negDDX52_-_36003172.25-all	NA	1220	1220	934	909
Apoptosis+Cancer+Other_Cancer=negDDX54_+_113623949.24-NM_024072	NA	914	914	696	664
Apoptosis+Cancer+Other_Cancer=negDDX54_-_113622578.23-NM_024072	NA	941	941	574	653
Apoptosis+Cancer+Other_Cancer=negDDX55_-_124085138.25-all	NA	726	726	510	539
Apoptosis+Cancer+Other_Cancer=negDDX6_-_118663206.25-NM_001257191	NA	601	601	416	436
Apoptosis+Cancer+Other_Cancer=negDHX15_-_24586046.24-all	NA	910	910	536	733
Apoptosis+Cancer+Other_Cancer=negDHX15_-_24586225.24-all	NA	798	798	493	642
Apoptosis+Cancer+Other_Cancer=negDHX33_+_5371695.24-NM_001199699	NA	786	786	663	796
Apoptosis+Cancer+Other_Cancer=negDHX33_-_5372120.24-NM_001199699	NA	530	530	479	406
Apoptosis+Cancer+Other_Cancer=negDIDO1_+_61558564.24-NM_001193370	NA	554	554	363	368
Apoptosis+Cancer+Other_Cancer=negDIDO1_+_61569424.24-NM_022105	NA	538	538	624	461
Apoptosis+Cancer+Other_Cancer=negDIDO1_+_61569433.25-NM_033081,NM_022105	NA	758	758	522	629
Apoptosis+Cancer+Other_Cancer=negDIDO1_-_61556402.23-NM_080796,NM_001193370	NA	943	943	692	755
Apoptosis+Cancer+Other_Cancer=negDIDO1_-_61567988.23-NM_080797	NA	949	949	690	689
Apoptosis+Cancer+Other_Cancer=negDIDO1_-_61569296.24-NM_033081	NA	642	642	400	448
Apoptosis+Cancer+Other_Cancer=negDIDO1_-_61569326.24-NM_022105	NA	869	869	550	539
Apoptosis+Cancer+Other_Cancer=negDIDO1_-_61569871.25-NM_033081,NM_080797	NA	606	606	456	519
