sgId	gene	untreated_day15Rep1	untreated_day15Rep2	RigosertibRep1	RigosertibRep2
Apoptosis+Cancer+Other_Cancer=negCOPZ1_+_54719841.25-NM_001271735	negative_control	287	473	415	479
Apoptosis+Cancer+Other_Cancer=negCPSF2_+_92587100.25-all	negative_control	330	380	498	422
Apoptosis+Cancer+Other_Cancer=negCPSF2_+_92587777.25-all	negative_control	885	915	981	902
Apoptosis+Cancer+Other_Cancer=negCPSF6_-_69633714.24-all	negative_control	179	180	235	222
Apoptosis+Cancer+Other_Cancer=negCREBBP_-_3929617.25-NM_001079846	negative_control	827	888	584	495
Apoptosis+Cancer+Other_Cancer=negCREBBP_-_3931437.24-all	negative_control	617	642	737	662
Apoptosis+Cancer+Other_Cancer=negCRNKL1_+_20032785.24-NM_001278628	negative_control	492	515	710	535
Apoptosis+Cancer+Other_Cancer=negCRNKL1_+_20036914.24-NM_001278627	negative_control	662	608	641	673
Apoptosis+Cancer+Other_Cancer=negCRNKL1_-_20036038.25-NM_016652	negative_control	0	0	0	0
Apoptosis+Cancer+Other_Cancer=negCSE1L_+_47663052.23-NM_001256135	negative_control	615	725	613	709
Apoptosis+Cancer+Other_Cancer=negCSE1L_+_47663261.24-NR_045796	negative_control	320	300	409	374
Apoptosis+Cancer+Other_Cancer=negCSE1L_+_47663841.25-NM_001256135	negative_control	498	599	571	638
Apoptosis+Cancer+Other_Cancer=negCSE1L_-_47661811.23-NM_001316	negative_control	1176	1154	952	946
Apoptosis+Cancer+Other_Cancer=negCSE1L_-_47662173.24-NR_045796	negative_control	1051	1011	1033	1086
Apoptosis+Cancer+Other_Cancer=negCSE1L_-_47662975.21-NR_045796	negative_control	685	830	751	777
Apoptosis+Cancer+Other_Cancer=negCSE1L_-_47663143.25-NR_045796	negative_control	173	249	240	226
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_+_148930913.24-NM_001271741	negative_control	648	695	631	622
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_+_148932561.25-NM_001025105	negative_control	378	495	414	454
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_-_148930243.21-NM_001025105	negative_control	468	560	510	449
Apoptosis+Cancer+Other_Cancer=negCSNK1A1_-_148932373.25-NM_001892	negative_control	262	344	344	359
Apoptosis+Cancer+Other_Cancer=negCSTF1_+_54967945.23-NM_001033522	negative_control	789	815	834	778
Apoptosis+Cancer+Other_Cancer=negCSTF1_-_54966359.25-NM_001324	negative_control	853	880	1017	879
Apoptosis+Cancer+Other_Cancer=negCSTF3_-_33181355.25-NM_001033505	negative_control	438	505	430	451
Apoptosis+Cancer+Other_Cancer=negCSTF3_-_33183370.25-NM_001033506	negative_control	673	814	716	713
Apoptosis+Cancer+Other_Cancer=negCTNNBL1_+_36321019.25-NM_030877	negative_control	679	900	657	659
Apoptosis+Cancer+Other_Cancer=negCTNNBL1_-_36322344.25-NM_030877	negative_control	374	325	442	454
Apoptosis+Cancer+Other_Cancer=negCWC22_+_180872665.23-all	negative_control	456	568	605	464
Apoptosis+Cancer+Other_Cancer=negDAP3_+_155657437.25-NM_001199850	negative_control	708	650	583	582
Apoptosis+Cancer+Other_Cancer=negDAP3_+_155657569.25-NM_001199849	negative_control	791	877	913	922
Apoptosis+Cancer+Other_Cancer=negDAP3_+_155658340.25-NM_004632	negative_control	628	609	505	564
Apoptosis+Cancer+Other_Cancer=negDAP3_+_155658367.24-NM_033657,NM_001199850	negative_control	645	809	662	592
Apoptosis+Cancer+Other_Cancer=negDAP3_+_155658371.25-NM_004632,NM_033657	negative_control	513	432	453	439
Apoptosis+Cancer+Other_Cancer=negDAP3_+_155658852.23-NM_033657	negative_control	564	630	537	756
Apoptosis+Cancer+Other_Cancer=negDAP3_-_155657916.25-NM_001199849	negative_control	270	266	223	307
Apoptosis+Cancer+Other_Cancer=negDAP3_-_155658677.23-NM_004632	negative_control	511	511	653	713
Apoptosis+Cancer+Other_Cancer=negDAP3_-_155659026.25-NM_001199849,NM_001199850	negative_control	346	418	289	392
Apoptosis+Cancer+Other_Cancer=negDAP3_-_155659256.22-NM_001199850	negative_control	152	134	101	190
Apoptosis+Cancer+Other_Cancer=negDAP3_-_155659823.25-NM_001199850	negative_control	636	677	701	605
Apoptosis+Cancer+Other_Cancer=negDAP3_-_155659992.25-NM_001199850	negative_control	377	399	348	309
Apoptosis+Cancer+Other_Cancer=negDCTN4_+_150138100.23-NM_016221	negative_control	868	897	973	1194
Apoptosis+Cancer+Other_Cancer=negDCTN4_-_150137944.23-NM_001135643	negative_control	1889	2059	1425	1521
Apoptosis+Cancer+Other_Cancer=negDCTN4_-_150137966.24-NM_001135643	negative_control	312	443	335	448
Apoptosis+Cancer+Other_Cancer=negDCTN4_-_150138027.22-NM_001135643	negative_control	386	350	474	475
Apoptosis+Cancer+Other_Cancer=negDCTN4_-_150139148.25-NM_001135644	negative_control	525	417	403	435
Apoptosis+Cancer+Other_Cancer=negDCTN4_-_150139496.24-NM_016221	negative_control	819	915	997	987
Apoptosis+Cancer+Other_Cancer=negDDX21_+_70716491.25-NM_004728	negative_control	717	871	757	778
Apoptosis+Cancer+Other_Cancer=negDDX21_-_70714673.25-NM_004728	negative_control	254	305	382	236
Apoptosis+Cancer+Other_Cancer=negDDX21_-_70715917.23-NM_004728	negative_control	851	954	911	894
Apoptosis+Cancer+Other_Cancer=negDDX21_-_70716496.24-NM_004728	negative_control	346	383	377	359
Apoptosis+Cancer+Other_Cancer=negDDX42_-_61851811.24-NM_203499	negative_control	706	846	800	757
Apoptosis+Cancer+Other_Cancer=negDDX46_-_134094254.25-all	negative_control	474	508	556	494
Apoptosis+Cancer+Other_Cancer=negDDX47_+_12966271.23-NM_201224	negative_control	540	736	816	636
Apoptosis+Cancer+Other_Cancer=negDDX47_-_12967002.24-NM_201224	negative_control	840	800	773	893
Apoptosis+Cancer+Other_Cancer=negDDX54_+_113622590.23-NM_001111322	negative_control	621	650	629	612
Apoptosis+Cancer+Other_Cancer=negDDX54_+_113623609.22-NM_024072	negative_control	422	418	376	374
Apoptosis+Cancer+Other_Cancer=negDDX6_-_118662186.25-NM_004397	negative_control	52	74	91	63
Apoptosis+Cancer+Other_Cancer=negDHX15_-_24586046.25-all	negative_control	568	571	585	659
Apoptosis+Cancer+Other_Cancer=negDIDO1_+_61568018.25-NM_080797	negative_control	484	545	491	554
Apoptosis+Cancer+Other_Cancer=negDKC1_-_153991353.25-NM_001142463	negative_control	702	765	831	607
Apoptosis+Cancer+Other_Cancer=negDKC1_-_153991468.24-NM_001142463	negative_control	1113	1163	1351	1379
Apoptosis+Cancer+Other_Cancer=negDTL_+_212209469.25-NM_001286229	negative_control	1342	1391	1424	1334
Apoptosis+Cancer+Other_Cancer=negDYNC1I2_+_172544148.25-NM_001378	negative_control	812	855	787	823
Apoptosis+Cancer+Other_Cancer=negDYNC1I2_+_172544463.24-NM_001271788	negative_control	421	522	477	427
Apoptosis+Cancer+Other_Cancer=negDYNC1I2_+_172544632.24-NM_001271790	negative_control	184	168	789	612
Apoptosis+Cancer+Other_Cancer=negDYNC1I2_+_172544656.23-NM_001271788	negative_control	267	268	273	264
Apoptosis+Cancer+Other_Cancer=negDYNC1I2_+_172545487.23-NM_001271786	negative_control	381	402	342	335
Apoptosis+Cancer+Other_Cancer=negDYNC1I2_-_172544288.24-NM_001271788	negative_control	423	446	378	387
Apoptosis+Cancer+Other_Cancer=negDYRK1A_-_38741046.23-NM_101395	negative_control	608	699	663	647
Apoptosis+Cancer+Other_Cancer=negEEF1G_+_62342011.23-all	negative_control	671	711	918	881
Apoptosis+Cancer+Other_Cancer=negEEF1G_-_62342920.24-all	negative_control	1306	1564	1161	1144
Apoptosis+Cancer+Other_Cancer=negEFTUD2_+_42977976.24-NM_004247	negative_control	1185	1146	1244	1156
Apoptosis+Cancer+Other_Cancer=negEFTUD2_-_42975183.23-NM_001258353	negative_control	510	494	598	568
Apoptosis+Cancer+Other_Cancer=negEFTUD2_-_42977075.25-NM_001258354	negative_control	545	564	609	596
Apoptosis+Cancer+Other_Cancer=negEFTUD2_-_42977593.25-NM_001142605	negative_control	628	593	648	669
Apoptosis+Cancer+Other_Cancer=negEIF2B3_+_45453002.22-NM_020365,NM_001166588	negative_control	963	1011	567	543
Apoptosis+Cancer+Other_Cancer=negEIF2B3_-_45452186.25-NM_001166588	negative_control	27	35	269	238
Apoptosis+Cancer+Other_Cancer=negEIF2B4_+_27593165.23-NM_172195	negative_control	636	703	652	625
Apoptosis+Cancer+Other_Cancer=negEIF2B4_+_27593497.24-NM_001034116	negative_control	295	253	351	342
Apoptosis+Cancer+Other_Cancer=negEIF2B4_-_27592122.24-NM_172195	negative_control	249	363	321	337
Apoptosis+Cancer+Other_Cancer=negEIF2B4_-_27592768.25-NM_001034116	negative_control	801	791	803	601
Apoptosis+Cancer+Other_Cancer=negEIF2B4_-_27592845.22-NM_172195	negative_control	417	450	513	496
Apoptosis+Cancer+Other_Cancer=negEIF2B4_-_27593355.25-NM_001034116	negative_control	401	354	364	346
Apoptosis+Cancer+Other_Cancer=negEIF3A_-_120839933.22-all	negative_control	238	377	271	297
Apoptosis+Cancer+Other_Cancer=negEIF3D_-_36924433.24-all	negative_control	1200	1238	1343	1292
Apoptosis+Cancer+Other_Cancer=negEIF3D_-_36925399.23-all	negative_control	1191	1236	1081	1207
Apoptosis+Cancer+Other_Cancer=negEIF3E_+_109260992.25-all	negative_control	445	522	428	448
Apoptosis+Cancer+Other_Cancer=negEIF3F_+_8008973.24-all	negative_control	620	740	681	629
Apoptosis+Cancer+Other_Cancer=negEIF3F_+_8009834.24-all	negative_control	652	558	585	666
Apoptosis+Cancer+Other_Cancer=negEIF4A1_-_7476320.23-NM_001204510	negative_control	251	246	229	227
Apoptosis+Cancer+Other_Cancer=negEIF4A1_-_7476904.25-NM_001416	negative_control	882	856	1003	1013
Apoptosis+Cancer+Other_Cancer=negEIF4A3_+_78121289.24-all	negative_control	318	418	307	323
Apoptosis+Cancer+Other_Cancer=negEIF4A3_-_78120425.23-all	negative_control	533	552	505	551
Apoptosis+Cancer+Other_Cancer=negEIF4A3_-_78122282.25-all	negative_control	489	494	458	515
Apoptosis+Cancer+Other_Cancer=negEIF4E_+_99849910.24-NM_001130678	negative_control	416	495	619	614
Apoptosis+Cancer+Other_Cancer=negEIF4E_+_99850048.24-NM_001130678,NM_001130679	negative_control	695	910	803	737
Apoptosis+Cancer+Other_Cancer=negEIF4G2_+_10830031.24-NM_001172705	negative_control	141	134	134	115
Apoptosis+Cancer+Other_Cancer=negEIF4G2_-_10829590.22-NM_001172705	negative_control	146	160	160	172
Apoptosis+Cancer+Other_Cancer=negEIF4G2_-_10831112.23-NM_001418	negative_control	1102	1110	1175	1073
Apoptosis+Cancer+Other_Cancer=negEIF5A_+_7211313.23-NM_001143761	negative_control	485	492	481	489
Apoptosis+Cancer+Other_Cancer=negEIF5A_+_7211614.24-NM_001143760	negative_control	216	283	258	283
Apoptosis+Cancer+Other_Cancer=negEIF5A_+_7211839.23-NM_001143761	negative_control	821	832	507	606
Apoptosis+Cancer+Other_Cancer=negEIF5A_-_7209264.25-NM_001143760	negative_control	557	567	698	700
Apoptosis+Cancer+Other_Cancer=negEIF5A_-_7210035.25-NM_001143760	negative_control	623	839	351	362
Apoptosis+Cancer+Other_Cancer=negEIF5A_-_7210809.25-NM_001143762	negative_control	329	355	399	369
Apoptosis+Cancer+Other_Cancer=negEIF5A_-_7210878.24-NM_001143761	negative_control	748	697	734	681
Apoptosis+Cancer+Other_Cancer=negEIF5A_-_7211252.25-NM_001143760	negative_control	27	28	26	29
Apoptosis+Cancer+Other_Cancer=negEIF5A_-_7211282.24-NM_001970	negative_control	769	693	538	551
Apoptosis+Cancer+Other_Cancer=negEIF5A_-_7211483.24-NM_001143760,NM_001143762	negative_control	748	822	702	695
Apoptosis+Cancer+Other_Cancer=negEIF5A_-_7213053.25-NM_001143761	negative_control	391	333	361	318
Apoptosis+Cancer+Other_Cancer=negEIF6_+_33871967.22-NM_181468	negative_control	723	853	730	893
Apoptosis+Cancer+Other_Cancer=negEIF6_+_33872136.25-NR_052024,NR_052022	negative_control	235	280	265	253
Apoptosis+Cancer+Other_Cancer=negEIF6_+_33872447.23-NR_052024	negative_control	1213	1280	1337	1291
Apoptosis+Cancer+Other_Cancer=negEIF6_+_33872543.24-NR_052022	negative_control	740	694	734	718
Apoptosis+Cancer+Other_Cancer=negEIF6_+_33872646.24-NR_052023,NR_052022	negative_control	656	642	768	712
Apoptosis+Cancer+Other_Cancer=negEIF6_+_33873344.25-NM_001267810	negative_control	344	309	331	250
Apoptosis+Cancer+Other_Cancer=negEIF6_+_33873468.22-NR_052022	negative_control	619	815	635	667
Apoptosis+Cancer+Other_Cancer=negEIF6_-_33872711.22-NR_052023,NM_181466	negative_control	719	679	887	869
Apoptosis+Cancer+Other_Cancer=negEIF6_-_33872894.24-NR_052024	negative_control	675	719	736	712
Apoptosis+Cancer+Other_Cancer=negELP6_+_47555491.22-all	negative_control	712	709	637	622
Apoptosis+Cancer+Other_Cancer=negELP6_-_47555359.25-all	negative_control	524	684	575	568
Apoptosis+Cancer+Other_Cancer=negEPRS_+_220219888.23-all	negative_control	870	1150	1103	1027
Apoptosis+Cancer+Other_Cancer=negEPRS_-_220221325.23-all	negative_control	243	298	235	269
Apoptosis+Cancer+Other_Cancer=negESF1_+_13765309.25-NM_016649	negative_control	423	550	488	555
Apoptosis+Cancer+Other_Cancer=negESF1_-_13766891.25-NM_016649	negative_control	613	743	724	828
Apoptosis+Cancer+Other_Cancer=negETF1_+_137877751.23-NM_001282185	negative_control	1387	1520	1379	1401
Apoptosis+Cancer+Other_Cancer=negEXOSC2_+_133567831.24-NR_104230	negative_control	1223	1200	1106	1093
Apoptosis+Cancer+Other_Cancer=negEXOSC2_-_133570525.24-NM_001282708	negative_control	547	612	632	683
Apoptosis+Cancer+Other_Cancer=negEXOSC2_-_133570625.22-NM_001282709	negative_control	577	510	509	509
Apoptosis+Cancer+Other_Cancer=negEXOSC2_-_133570666.23-NR_104230	negative_control	1407	1448	1293	1567
Apoptosis+Cancer+Other_Cancer=negEXOSC3_+_37783463.24-NM_016042	negative_control	642	700	649	623
Apoptosis+Cancer+Other_Cancer=negEXOSC3_-_37785413.25-NM_016042	negative_control	776	817	783	747
Apoptosis+Cancer+Other_Cancer=negEXOSC8_-_37574154.23-all	negative_control	1060	912	911	914
Apoptosis+Cancer+Other_Cancer=negEXOSC8_-_37574407.24-all	negative_control	567	667	608	593
Apoptosis+Cancer+Other_Cancer=negEZH2_+_148580513.23-NM_001203249	negative_control	630	573	634	641
Apoptosis+Cancer+Other_Cancer=negEZH2_+_148580737.24-NM_001203247	negative_control	367	445	426	443
Apoptosis+Cancer+Other_Cancer=negEZH2_+_148580878.25-NM_001203247	negative_control	753	689	748	686
Apoptosis+Cancer+Other_Cancer=negEZH2_-_148580645.25-NM_001203247	negative_control	260	221	314	297
Apoptosis+Cancer+Other_Cancer=negEZH2_-_148580695.25-NM_152998	negative_control	272	375	397	402
Apoptosis+Cancer+Other_Cancer=negEZH2_-_148581255.25-NM_001203247	negative_control	96	119	130	111
Apoptosis+Cancer+Other_Cancer=negEZH2_-_148581823.25-NM_152998,NM_001203248	negative_control	486	544	780	784
Apoptosis+Cancer+Other_Cancer=negEZH2_-_148582768.25-NM_152998	negative_control	269	338	313	386
Apoptosis+Cancer+Other_Cancer=negEZH2_-_148582956.24-NM_001203247,NM_152998	negative_control	768	672	731	639
Apoptosis+Cancer+Other_Cancer=negGABPA_+_27107938.25-NM_002040	negative_control	602	594	655	736
Apoptosis+Cancer+Other_Cancer=negGABPB1_+_50646354.25-NM_005254	negative_control	1100	1159	1113	1165
Apoptosis+Cancer+Other_Cancer=negGABPB1_+_50647639.23-NM_016655	negative_control	340	341	386	412
Apoptosis+Cancer+Other_Cancer=negGABPB1_-_50646779.24-NM_002041	negative_control	1199	1229	1294	1415
Apoptosis+Cancer+Other_Cancer=negGABPB1_-_50647757.23-NM_181427	negative_control	637	758	818	740
Apoptosis+Cancer+Other_Cancer=negGABPB1_-_50649170.25-NM_181427	negative_control	465	558	398	360
Apoptosis+Cancer+Other_Cancer=negGART_+_34914399.23-NM_175085	negative_control	491	502	605	672
Apoptosis+Cancer+Other_Cancer=negGART_+_34915167.24-NM_000819	negative_control	822	830	890	873
Apoptosis+Cancer+Other_Cancer=negGART_+_34915529.23-NM_001136005	negative_control	331	395	290	276
Apoptosis+Cancer+Other_Cancer=negGART_+_34915531.24-NM_001136006	negative_control	1179	1410	1506	1289
Apoptosis+Cancer+Other_Cancer=negGART_+_34915743.25-NM_000819	negative_control	536	574	559	562
Apoptosis+Cancer+Other_Cancer=negGART_-_34914795.22-NM_000819	negative_control	1122	1188	1357	1140
Apoptosis+Cancer+Other_Cancer=negGART_-_34915391.25-NM_175085	negative_control	322	422	406	412
Apoptosis+Cancer+Other_Cancer=negGEMIN4_+_654726.24-all	negative_control	759	771	1082	911
Apoptosis+Cancer+Other_Cancer=negGEMIN4_-_656648.24-all	negative_control	281	221	440	471
Apoptosis+Cancer+Other_Cancer=negGNB2L1_-_180670721.25-all	negative_control	1036	1012	1002	1171
Apoptosis+Cancer+Other_Cancer=negGNB2L1_-_180672591.25-all	negative_control	757	935	869	851
Apoptosis+Cancer+Other_Cancer=negGNL2_+_38061269.24-all	negative_control	732	739	781	1023
Apoptosis+Cancer+Other_Cancer=negGNL2_+_38062865.25-all	negative_control	348	415	513	453
Apoptosis+Cancer+Other_Cancer=negGNL3L_-_54557020.25-NM_001184819	negative_control	304	275	336	257
Apoptosis+Cancer+Other_Cancer=negGNL3L_-_54557618.25-NM_001184819	negative_control	970	975	947	891
Apoptosis+Cancer+Other_Cancer=negGNL3_+_52720253.25-NM_206825	negative_control	347	390	348	383
Apoptosis+Cancer+Other_Cancer=negGON4L_+_155825867.24-NM_001282860	negative_control	518	539	393	496
Apoptosis+Cancer+Other_Cancer=negGON4L_+_155828147.25-NM_032292	negative_control	216	285	252	272
